lähto,tulo,Yhteensä,Miehet,Naiset
Akaa,Tohmajärvi,0,0,0
Alajärvi,Tohmajärvi,0,0,0
Alavieska,Tohmajärvi,0,0,0
Alavus,Tohmajärvi,0,0,0
Asikkala,Tohmajärvi,0,0,0
Askola,Tohmajärvi,0,0,0
Aura,Tohmajärvi,0,0,0
Brändö,Tohmajärvi,0,0,0
Eckerö,Tohmajärvi,0,0,0
Enonkoski,Tohmajärvi,0,0,0
Enontekiö,Tohmajärvi,0,0,0
Espoo,Tohmajärvi,0,0,0
Eura,Tohmajärvi,0,0,0
Eurajoki,Tohmajärvi,0,0,0
Evijärvi,Tohmajärvi,0,0,0
Finström,Tohmajärvi,0,0,0
Forssa,Tohmajärvi,0,0,0
Föglö,Tohmajärvi,0,0,0
Geta,Tohmajärvi,0,0,0
Haapajärvi,Tohmajärvi,0,0,0
Haapavesi,Tohmajärvi,0,0,0
Hailuoto,Tohmajärvi,0,0,0
Halsua,Tohmajärvi,0,0,0
Hamina,Tohmajärvi,0,0,0
Hammarland,Tohmajärvi,0,0,0
Hankasalmi,Tohmajärvi,0,0,0
Hanko,Tohmajärvi,0,0,0
Harjavalta,Tohmajärvi,0,0,0
Hartola,Tohmajärvi,0,0,0
Hattula,Tohmajärvi,0,0,0
Hausjärvi,Tohmajärvi,0,0,0
Heinola,Tohmajärvi,0,0,0
Heinävesi,Tohmajärvi,3,1,2
Helsinki,Tohmajärvi,5,1,4
Hirvensalmi,Tohmajärvi,1,0,1
Hollola,Tohmajärvi,0,0,0
Huittinen,Tohmajärvi,0,0,0
Humppila,Tohmajärvi,0,0,0
Hyrynsalmi,Tohmajärvi,0,0,0
Hyvinkää,Tohmajärvi,2,1,1
Hämeenkyrö,Tohmajärvi,0,0,0
Hämeenlinna,Tohmajärvi,0,0,0
Ii,Tohmajärvi,0,0,0
Iisalmi,Tohmajärvi,0,0,0
Iitti,Tohmajärvi,0,0,0
Ikaalinen,Tohmajärvi,0,0,0
Ilmajoki,Tohmajärvi,0,0,0
Ilomantsi,Tohmajärvi,2,2,0
Imatra,Tohmajärvi,4,3,1
Inari,Tohmajärvi,0,0,0
Inkoo,Tohmajärvi,0,0,0
Isojoki,Tohmajärvi,0,0,0
Isokyrö,Tohmajärvi,0,0,0
Janakkala,Tohmajärvi,0,0,0
Joensuu,Tohmajärvi,123,70,53
Jokioinen,Tohmajärvi,0,0,0
Jomala,Tohmajärvi,0,0,0
Joroinen,Tohmajärvi,0,0,0
Joutsa,Tohmajärvi,0,0,0
Juuka,Tohmajärvi,0,0,0
Juupajoki,Tohmajärvi,0,0,0
Juva,Tohmajärvi,0,0,0
Jyväskylä,Tohmajärvi,1,1,0
Jämijärvi,Tohmajärvi,0,0,0
Jämsä,Tohmajärvi,0,0,0
Järvenpää,Tohmajärvi,1,1,0
Kaarina,Tohmajärvi,1,0,1
Kaavi,Tohmajärvi,0,0,0
Kajaani,Tohmajärvi,0,0,0
Kalajoki,Tohmajärvi,0,0,0
Kangasala,Tohmajärvi,0,0,0
Kangasniemi,Tohmajärvi,0,0,0
Kankaanpää,Tohmajärvi,0,0,0
Kannonkoski,Tohmajärvi,0,0,0
Kannus,Tohmajärvi,0,0,0
Karijoki,Tohmajärvi,0,0,0
Karkkila,Tohmajärvi,1,1,0
Karstula,Tohmajärvi,0,0,0
Karvia,Tohmajärvi,0,0,0
Kaskinen,Tohmajärvi,0,0,0
Kauhajoki,Tohmajärvi,0,0,0
Kauhava,Tohmajärvi,0,0,0
Kauniainen,Tohmajärvi,0,0,0
Kaustinen,Tohmajärvi,0,0,0
Keitele,Tohmajärvi,0,0,0
Kemi,Tohmajärvi,1,0,1
Kemijärvi,Tohmajärvi,0,0,0
Keminmaa,Tohmajärvi,0,0,0
Kemiönsaari,Tohmajärvi,0,0,0
Kempele,Tohmajärvi,0,0,0
Kerava,Tohmajärvi,0,0,0
Keuruu,Tohmajärvi,0,0,0
Kihniö,Tohmajärvi,0,0,0
Kinnula,Tohmajärvi,0,0,0
Kirkkonummi,Tohmajärvi,0,0,0
Kitee,Tohmajärvi,46,22,24
Kittilä,Tohmajärvi,0,0,0
Kiuruvesi,Tohmajärvi,0,0,0
Kivijärvi,Tohmajärvi,0,0,0
Kokemäki,Tohmajärvi,0,0,0
Kokkola,Tohmajärvi,0,0,0
Kolari,Tohmajärvi,0,0,0
Konnevesi,Tohmajärvi,0,0,0
Kontiolahti,Tohmajärvi,7,4,3
